update,rollout_steps,episodes_finished,completed,timeouts,trained_win_rate,opponent_win_rate,average_step_reward,trainable_samples,fighter_samples,cleric_samples,wizard_samples,policy_loss,value_loss,entropy,loss,checkpoint,curriculum_level,curriculum_stage,curriculum_kind,training_classes,curriculum_window_size,curriculum_window_win_rate,curriculum_threshold,curriculum_updates_on_level
135,1024,9,7,2,0.5714285714285714,0.42857142857142855,0.0299833984375,730,311,419,0,0.12637713613609472,1.3113976617654164,0.29816065977017087,0.7790943731864294,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.26666666666666666,0.7,73
140,1024,2,1,1,1.0,0.0,-0.005613281249999999,715,375,340,0,0.060244715927789606,0.47254887223243713,0.2185991828640302,0.2943331574400266,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.26666666666666666,0.7,78
145,1024,17,14,3,0.7142857142857143,0.2857142857142857,0.0770009765625,669,368,301,0,0.13406168359021345,3.2289969523747764,0.2438522887726625,1.7461216350396473,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.5333333333333333,0.7,83
150,1024,8,5,3,0.2,0.8,0.0066494140625,706,338,368,0,0.05669283168390393,1.1038980185985565,0.2656587002178033,0.6059852590163549,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.26666666666666666,0.7,88
155,1024,8,7,1,0.5714285714285714,0.42857142857142855,0.0378662109375,728,298,430,0,0.19815456618865332,1.8326335350672405,0.36916693051656085,1.110779657959938,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.3333333333333333,0.7,93
160,1024,12,11,1,0.45454545454545453,0.5454545454545454,0.056021484375,677,339,338,0,0.1538521619513631,2.0619897147019706,0.30117914577325183,1.1818352142969768,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.4,0.7,98
165,1024,5,5,0,0.0,1.0,0.021056640625,704,417,287,0,0.16645378122727075,0.7292363395293554,0.3048755154013634,0.5280232032140096,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.26666666666666666,0.7,103
170,1024,7,7,0,0.14285714285714285,0.8571428571428571,0.0369462890625,727,362,365,0,0.10286199146260817,1.0732625822226207,0.5116287991404533,0.6343770027160645,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.36666666666666664,0.7,108
175,1024,8,5,3,0.4,0.6,0.027654296875,732,397,335,0,0.08374675611654918,1.2079883813858032,0.7001232753197352,0.6807397156953812,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.2,0.7,113
180,1024,10,8,2,0.25,0.75,0.030363281250000002,718,350,368,0,0.1830502599477768,1.1543274869521458,0.6378286182880402,0.7538357228040695,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.36666666666666664,0.7,118
185,1024,9,7,2,0.14285714285714285,0.8571428571428571,0.020867187500000002,708,409,299,0,0.0376263156455631,1.384579489628474,0.4717677980661392,0.725198375682036,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.23333333333333334,0.7,123
190,1024,2,1,1,1.0,0.0,-0.006388671875,745,360,385,0,0.18234452915688357,0.6014851654569308,0.41857192913691205,0.47890139867862064,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.2,0.7,128
195,1024,7,4,3,0.5,0.5,0.009666015625000001,715,381,334,0,0.1195455885802706,0.9214175740877787,0.4831438362598419,0.5754229302207629,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.26666666666666666,0.7,133
200,1024,9,6,3,0.16666666666666666,0.8333333333333334,0.018271484375,705,422,283,0,0.11898866419990857,1.2687082240978877,0.5122292935848236,0.7482204933961233,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.16666666666666666,0.7,138
