update,rollout_steps,episodes_finished,completed,timeouts,trained_win_rate,opponent_win_rate,average_step_reward,trainable_samples,fighter_samples,cleric_samples,wizard_samples,policy_loss,value_loss,entropy,loss,checkpoint,curriculum_level,curriculum_stage,curriculum_kind,training_classes,curriculum_window_size,curriculum_window_win_rate,curriculum_threshold,curriculum_updates_on_level
135,1024,16,15,1,0.8666666666666667,0.13333333333333333,-0.108330078125,226,8,18,200,-0.4428948611021042,2.5970897674560547,1.3414096236228943,0.8422359377145767,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,9,Wizard_damage_types,class,Wizard,30,0.9,0.65,10
140,1024,14,14,0,1.0,0.0,-0.096125,209,1,12,196,-0.6041793972253799,3.4918644428253174,1.1324372589588165,1.130428433418274,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,9,Wizard_damage_types,class,Wizard,30,1.0,0.65,15
145,1024,29,28,1,0.9642857142857143,0.03571428571428571,0.1140869140625,375,132,117,126,-0.011567879650101531,11.40826690196991,0.952389270067215,5.683041632175446,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,10,Party_integration,class,"Fighter,Cleric,Wizard",30,1.0,0.65,5
150,1024,30,29,1,1.0,0.0,0.07013964843750001,353,117,84,152,0.0690664011053741,10.514466047286987,0.7385627925395966,5.318913757801056,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,10,Party_integration,class,"Fighter,Cleric,Wizard",30,1.0,0.65,10
155,1024,32,31,1,1.0,0.0,0.073353515625,429,139,119,171,0.30442940443754196,11.248135805130005,0.9001078307628632,5.919496238231659,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,10,Party_integration,class,"Fighter,Cleric,Wizard",30,1.0,0.65,15
160,1024,0,0,0,0.0,0.0,-0.0383974609375,408,146,128,134,-0.19923916459083557,0.195649279281497,0.8076684474945068,-0.10949121043086052,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,11,Party_cover_tactics,class,"Fighter,Cleric,Wizard",0,0.0,0.65,5
165,1024,3,3,0,1.0,0.0,-0.004544921875,461,165,143,153,-0.17867093905806541,2.023908406496048,0.8043323084712029,0.8252399265766144,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,11,Party_cover_tactics,class,"Fighter,Cleric,Wizard",19,0.15789473684210525,0.65,10
170,1024,1,1,0,1.0,0.0,-0.0196533203125,457,148,155,154,-0.5591063350439072,0.49417939968407154,0.41686247289180756,-0.3161852564662695,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,11,Party_cover_tactics,class,"Fighter,Cleric,Wizard",30,0.16666666666666666,0.65,15
175,1024,3,0,3,0.0,0.0,0.0015966796875000022,416,140,139,137,-0.5968746170401573,0.742789588868618,0.09329291060566902,-0.22641275078058243,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,11,Party_cover_tactics,class,"Fighter,Cleric,Wizard",30,0.06666666666666667,0.65,20
180,1024,9,0,9,0.0,0.0,-0.054568359375,422,135,138,149,-0.9257557094097137,0.08045382611453533,0.014414783683605492,-0.8856729492545128,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,11,Party_cover_tactics,class,"Fighter,Cleric,Wizard",30,0.03333333333333333,0.65,25
185,1024,2,0,2,0.0,0.0,-0.03748828125,446,150,152,144,-0.6842911839485168,0.1318956185132265,0.003554688621079549,-0.6183789223432541,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,11,Party_cover_tactics,class,"Fighter,Cleric,Wizard",30,0.0,0.65,30
190,1024,0,0,0,0.0,0.0,-0.040874023437500004,401,138,133,130,-1.0221310779452324,0.03833690099418163,0.001075054744433146,-1.002973385155201,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,11,Party_cover_tactics,class,"Fighter,Cleric,Wizard",30,0.0,0.65,35
